courseName,name,path
Algebra 1,M01 T01 L01 A Picture Is Worth a Thousand Words,/data/CA_SM5e_A1_TIG_M01_T01_L01.json
Algebra 1,M01 T01 L02 A Sort of Sorts,/data/CA_SM5e_A1_TIG_M01_T01_L02.json
Algebra 1,M01 T01 L03 F of X,/data/CA_SM5e_A1_TIG_M01_T01_L03.json
Algebra 1,M01 T01 L04 Re-Engaging with Domain and Range,/data/CA_SM5e_A1_TIG_M01_T01_L04.json
Algebra 1,"M01 T01 L05 Function Families for 200, Alex",/data/CA_SM5e_A1_TIG_M01_T01_L05.json
Algebra 1,M01 T01 L06 Re-Engaging with Key Features of Graphs,/data/CA_SM5e_A1_TIG_M01_T01_L06.json
Algebra 1,M01 T02 L01 Is There a Pattern Here?,/data/CA_SM5e_A1_TIG_M01_T02_L01.json
Algebra 1,M01 T02 L02 The Password Is . . . Operations!,/data/CA_SM5e_A1_TIG_M01_T02_L02.json
Algebra 1,M01 T02 L03 Re-Engaging with Recursive Formulas for Sequences,/data/CA_SM5e_A1_TIG_M01_T02_L03.json
Algebra 1,M01 T02 L04 Did You Mean: Recursion?,/data/CA_SM5e_A1_TIG_M01_T02_L04.json
Algebra 1,M01 T02 L05 Re-Engaging with Explicit Formulas for Sequences,/data/CA_SM5e_A1_TIG_M01_T02_L05.json
Algebra 1,M01 T03 L01 Like a Glove,/data/CA_SM5e_A1_TIG_M01_T03_L01.json
Algebra 1,M01 T03 L02 Re-Engaging with Exploring Linear Regressions,/data/CA_SM5e_A1_TIG_M01_T03_L02.json
Algebra 1,M01 T03 L03 Gotta Keep It Correlatin',/data/CA_SM5e_A1_TIG_M01_T03_L03.json
Algebra 1,M01 T03 L04 The Residual Effect,/data/CA_SM5e_A1_TIG_M01_T03_L04.json
Algebra 1,M01 T03 L05 To Fit or Not to Fit? That Is the Question!,/data/CA_SM5e_A1_TIG_M01_T03_L05.json
Algebra 1,M01 T03 L06 Re-Engaging with Interpreting Linear Regression,/data/CA_SM5e_A1_TIG_M01_T03_L06.json
Algebra 1,M02 T04 L01 Connecting the Dots,/data/CA_SM5e_A1_TIG_M02_T04_L01.json
Algebra 1,M02 T04 L02 Re-Engaging with Arithmetic Sequences as Functions,/data/CA_SM5e_A1_TIG_M02_T04_L02.json
Algebra 1,"M02 T04 L03 Fun with Functions, Linear Ones",/data/CA_SM5e_A1_TIG_M02_T04_L03.json
Algebra 1,M02 T04 L04 Re-Engaging with Representations of Linear Functions,/data/CA_SM5e_A1_TIG_M02_T04_L04.json
Algebra 1,M02 T04 L05 Get Your Move On,/data/CA_SM5e_A1_TIG_M02_T04_L05.json
Algebra 1,M02 T04 L06 Re-Engaging with Linear Function Transformations,/data/CA_SM5e_A1_TIG_M02_T04_L06.json
Algebra 1,M02 T04 L07 Connect Four,/data/CA_SM5e_A1_TIG_M02_T04_L07.json
Algebra 1,M02 T04 L08 Re-Engaging with Comparing Linear Functions,/data/CA_SM5e_A1_TIG_M02_T04_L08.json
Algebra 1,M02 T05 L01 Strike a Balance,/data/CA_SM5e_A1_TIG_M02_T05_L01.json
Algebra 1,M02 T05 L02 It's Literally About Literal Equations,/data/CA_SM5e_A1_TIG_M02_T05_L02.json
Algebra 1,M02 T05 L03 Re-Engaging with Solving Literal Equations,/data/CA_SM5e_A1_TIG_M02_T05_L03.json
Algebra 1,M02 T05 L04 Not All Statements Are Made Equal,/data/CA_SM5e_A1_TIG_M02_T05_L04.json
Algebra 1,M02 T05 L05 Don't Confound Your Compounds,/data/CA_SM5e_A1_TIG_M02_T05_L05.json
Algebra 1,M02 T05 L06 Re-Engaging with Solving Inequalities,/data/CA_SM5e_A1_TIG_M02_T05_L06.json
Algebra 1,M02 T06 L01 Double the Fun,/data/CA_SM5e_A1_TIG_M02_T06_L01.json
Algebra 1,M02 T06 L02 Re-Engaging with Systems of Linear Equations,/data/CA_SM5e_A1_TIG_M02_T06_L02.json
Algebra 1,M02 T06 L03 The Elimination Round,/data/CA_SM5e_A1_TIG_M02_T06_L03.json
Algebra 1,M02 T06 L04 Re-Engaging with Solving Systems Using Linear Combinations,/data/CA_SM5e_A1_TIG_M02_T06_L04.json
Algebra 1,M02 T06 L05 Throwing Shade,/data/CA_SM5e_A1_TIG_M02_T06_L05.json
Algebra 1,M02 T06 L06 Re-Engaging with Graphs of Linear Inequalities,/data/CA_SM5e_A1_TIG_M02_T06_L06.json
Algebra 1,M02 T06 L07 Working with Constraints,/data/CA_SM5e_A1_TIG_M02_T06_L07.json
Algebra 1,M02 T06 L08 Re-Engaging with Systems of Linear Inequalities,/data/CA_SM5e_A1_TIG_M02_T06_L08.json
Algebra 1,M02 T06 L09 Working the System,/data/CA_SM5e_A1_TIG_M02_T06_L09.json
Algebra 1,M02 T06 L10 Re-Engaging with Problem Solving Using Linear Systems,/data/CA_SM5e_A1_TIG_M02_T06_L10.json
Algebra 1,M02 T07 L01 Putting the V in Absolute Value,/data/CA_SM5e_A1_TIG_M02_T07_L01.json
Algebra 1,M02 T07 L02 Re-Engaging with Transforming Absolute Value Functions,/data/CA_SM5e_A1_TIG_M02_T07_L02.json
Algebra 1,M02 T07 L03 Play Ball!,/data/CA_SM5e_A1_TIG_M02_T07_L03.json
Algebra 1,M02 T07 L04 Re-Engaging with Absolute Value Equations and Inequalities,/data/CA_SM5e_A1_TIG_M02_T07_L04.json
Algebra 1,M02 T07 L05 I Graph in Pieces,/data/CA_SM5e_A1_TIG_M02_T07_L05.json
Algebra 1,M02 T07 L06 Re-Engaging with Graphs of Linear Piecewise Functions,/data/CA_SM5e_A1_TIG_M02_T07_L06.json
Algebra 1,M02 T07 L07 Step by Step,/data/CA_SM5e_A1_TIG_M02_T07_L07.json
Algebra 1,M02 T07 L08 A Riddle Wrapped in a Mystery,/data/CA_SM5e_A1_TIG_M02_T07_L08.json
Algebra 1,M02 T07 L09 Re-Engaging with Inverse Linear Functions,/data/CA_SM5e_A1_TIG_M02_T07_L09.json
Algebra 1,M03 T08 L01 A Constant Ratio,/data/CA_SM5e_A1_TIG_M03_T08_L01.json
Algebra 1,M03 T08 L02 Re-Engaging with Exponential Functions and Geometric Sequences,/data/CA_SM5e_A1_TIG_M03_T08_L02.json
Algebra 1,M03 T08 L03 The Power Within,/data/CA_SM5e_A1_TIG_M03_T08_L03.json
Algebra 1,M03 T08 L04 Re-Engaging with Exponential Functions and Graphs,/data/CA_SM5e_A1_TIG_M03_T08_L04.json
Algebra 1,"M03 T08 L05 Now I Know My A, B, C, Ds",/data/CA_SM5e_A1_TIG_M03_T08_L05.json
Algebra 1,M03 T08 L06 Re-Engaging with Transforming Exponential Functions,/data/CA_SM5e_A1_TIG_M03_T08_L06.json
Algebra 1,M03 T09 L01 Uptown and Downtown,/data/CA_SM5e_A1_TIG_M03_T09_L01.json
Algebra 1,M03 T09 L02 Re-Engaging with Exponential Growth and Decay,/data/CA_SM5e_A1_TIG_M03_T09_L02.json
Algebra 1,M03 T09 L03 Powers and the Horizontal Line,/data/CA_SM5e_A1_TIG_M03_T09_L03.json
Algebra 1,M03 T09 L04 Re-Engaging with Interpreting Exponential Equations,/data/CA_SM5e_A1_TIG_M03_T09_L04.json
Algebra 1,"M03 T09 L05 Savings, Tea, and Carbon Dioxide",/data/CA_SM5e_A1_TIG_M03_T09_L05.json
Algebra 1,M03 T09 L06 Re-Engaging with Modeling with Exponential Functions,/data/CA_SM5e_A1_TIG_M03_T09_L06.json
Algebra 1,"M03 T09 L07 3 Pegs, N Discs",/data/CA_SM5e_A1_TIG_M03_T09_L07.json
Algebra 1,M03 T09 L08 Re-Engaging with Exponential Regressions,/data/CA_SM5e_A1_TIG_M03_T09_L08.json
Algebra 1,M04 T10 L01 Way to Represent!,/data/CA_SM5e_A1_TIG_M04_T10_L01.json
Algebra 1,M04 T10 L02 Re-Engaging with Data Displays,/data/CA_SM5e_A1_TIG_M04_T10_L02.json
Algebra 1,M04 T10 L03 An Unskewed Reality,/data/CA_SM5e_A1_TIG_M04_T10_L03.json
Algebra 1,M04 T10 L04 Re-Engaging with Measures of Center and Variation,/data/CA_SM5e_A1_TIG_M04_T10_L04.json
Algebra 1,M04 T10 L05 Dare to Compare,/data/CA_SM5e_A1_TIG_M04_T10_L05.json
Algebra 1,M04 T10 L06 Re-Engaging with Data Set Comparisons,/data/CA_SM5e_A1_TIG_M04_T10_L06.json
Algebra 1,M04 T11 L01 It Takes Two,/data/CA_SM5e_A1_TIG_M04_T11_L01.json
Algebra 1,M04 T11 L02 Relatively Speaking,/data/CA_SM5e_A1_TIG_M04_T11_L02.json
Algebra 1,M04 T11 L03 Re-Engaging with Representing Two-Variable Categorical Data,/data/CA_SM5e_A1_TIG_M04_T11_L03.json
Algebra 1,M04 T11 L04 On One Condition . . . or More,/data/CA_SM5e_A1_TIG_M04_T11_L04.json
Algebra 1,M04 T11 L05 Data Jam,/data/CA_SM5e_A1_TIG_M04_T11_L05.json
Algebra 1,M04 T11 L06 Re-Engaging with Frequency Distributions and Conclusions,/data/CA_SM5e_A1_TIG_M04_T11_L06.json
Algebra 1,M05 T12 L01 Up and Down or Down and Up,/data/CA_SM5e_A1_TIG_M05_T12_L01.json
Algebra 1,M05 T12 L02 Re-Engaging with Quadratic Functions,/data/CA_SM5e_A1_TIG_M05_T12_L02.json
Algebra 1,M05 T12 L03 Endless Forms Most Beautiful,/data/CA_SM5e_A1_TIG_M05_T12_L03.json
Algebra 1,M05 T12 L04 Re-Engaging with Characteristics of Quadratic Functions,/data/CA_SM5e_A1_TIG_M05_T12_L04.json
Algebra 1,M05 T12 L05 More Than Meets the Eye,/data/CA_SM5e_A1_TIG_M05_T12_L05.json
Algebra 1,M05 T12 L06 Re-Engaging with Graphs of Quadratic Functions,/data/CA_SM5e_A1_TIG_M05_T12_L06.json
Algebra 1,"M05 T12 L07 You Lose Some, You Lose Some",/data/CA_SM5e_A1_TIG_M05_T12_L07.json
Algebra 1,M05 T12 L08 Re-Engaging with Comparing Functions,/data/CA_SM5e_A1_TIG_M05_T12_L08.json
Algebra 1,"M05 T13 L01 This Time, with Polynomials",/data/CA_SM5e_A1_TIG_M05_T13_L01.json
Algebra 1,M05 T13 L02 Re-Engaging with Operations with Polynomials,/data/CA_SM5e_A1_TIG_M05_T13_L02.json
Algebra 1,"M05 T13 L03 Solutions, More or Less",/data/CA_SM5e_A1_TIG_M05_T13_L03.json
Algebra 1,M05 T13 L04 Re-Engaging with Solutions to Quadratic Equations,/data/CA_SM5e_A1_TIG_M05_T13_L04.json
Algebra 1,M05 T13 L05 Transforming Solutions,/data/CA_SM5e_A1_TIG_M05_T13_L05.json
Algebra 1,M05 T13 L06 Re-Engaging with Solving Quadratic Equations Using Square Roots,/data/CA_SM5e_A1_TIG_M05_T13_L06.json
Algebra 1,M05 T13 L07 The Missing Link,/data/CA_SM5e_A1_TIG_M05_T13_L07.json
Algebra 1,M05 T13 L08 Re-Engaging with Completing the Square and Factoring,/data/CA_SM5e_A1_TIG_M05_T13_L08.json
Algebra 1,M05 T13 L09 One Fabulous Formula,/data/CA_SM5e_A1_TIG_M05_T13_L09.json
Algebra 1,M05 T13 L10 Re-Engaging with the Quadratic Formula,/data/CA_SM5e_A1_TIG_M05_T13_L10.json
Algebra 1,M05 T14 L01 Model Behavior,/data/CA_SM5e_A1_TIG_M05_T14_L01.json
Algebra 1,M05 T14 L02 Re-Engaging with Modeling with Quadratic Functions,/data/CA_SM5e_A1_TIG_M05_T14_L02.json
Algebra 1,M05 T14 L03 Ahead of the Curve,/data/CA_SM5e_A1_TIG_M05_T14_L03.json
Algebra 1,M05 T14 L04 All Systems Are Go!,/data/CA_SM5e_A1_TIG_M05_T14_L04.json
Algebra 1,M05 T14 L05 Re-Engaging with Systems with Quadratic Functions,/data/CA_SM5e_A1_TIG_M05_T14_L05.json
Grade 6,M01 T01 L01 Taking Apart Numbers and Shapes,/data/CA_SM5e_G06_TIG_M01_T01_L01.json
Grade 6,M01 T01 L02 Re-Engaging with the Distributive Property,/data/CA_SM5e_G06_TIG_M01_T01_L02.json
Grade 6,M01 T01 L03 Searching for Common Ground,/data/CA_SM5e_G06_TIG_M01_T01_L03.json
Grade 6,M01 T01 L04 Re-Engaging with Common Factors and Multiples,/data/CA_SM5e_G06_TIG_M01_T01_L04.json
Grade 6,M01 T01 L05 Composing and Decomposing Numbers,/data/CA_SM5e_G06_TIG_M01_T01_L05.json
Grade 6,M01 T01 L06 Re-Engaging with Greatest Common Factors,/data/CA_SM5e_G06_TIG_M01_T01_L06.json
Grade 6,M01 T01 L07 I'd Divide,/data/CA_SM5e_G06_TIG_M01_T01_L07.json
Grade 6,M01 T01 L08 Re-Engaging with Fraction Division,/data/CA_SM5e_G06_TIG_M01_T01_L08.json
Grade 6,M01 T01 L09 Yours IS to Reason Why!,/data/CA_SM5e_G06_TIG_M01_T01_L09.json
Grade 6,M01 T01 L10 Re-Engaging with Dividing Fractions,/data/CA_SM5e_G06_TIG_M01_T01_L10.json
Grade 6,M01 T02 L01 All About That Base . . . and Height,/data/CA_SM5e_G06_TIG_M01_T02_L01.json
Grade 6,M01 T02 L02 Re-Engaging with Area of Parallelograms and Triangles,/data/CA_SM5e_G06_TIG_M01_T02_L02.json
Grade 6,M01 T02 L03 Slicing and Dicing,/data/CA_SM5e_G06_TIG_M01_T02_L03.json
Grade 6,M01 T02 L04 Re-Engaging with Calculating Area,/data/CA_SM5e_G06_TIG_M01_T02_L04.json
Grade 6,"M01 T02 L05 Length, Width, and Depth",/data/CA_SM5e_G06_TIG_M01_T02_L05.json
Grade 6,M01 T02 L06 Re-Engaging with Area of Composite Shapes,/data/CA_SM5e_G06_TIG_M01_T02_L06.json
Grade 6,M01 T02 L07 Breaking the Fourth Wall,/data/CA_SM5e_G06_TIG_M01_T02_L07.json
Grade 6,M01 T02 L08 Re-Engaging with Attributes of Rectangular Prisms,/data/CA_SM5e_G06_TIG_M01_T02_L08.json
Grade 6,M01 T02 L09 Scratching the Surface,/data/CA_SM5e_G06_TIG_M01_T02_L09.json
Grade 6,M01 T02 L10 Re-Engaging with Nets and Surface Area,/data/CA_SM5e_G06_TIG_M01_T02_L10.json
Grade 6,M01 T03 L01 Get in Line,/data/CA_SM5e_G06_TIG_M01_T03_L01.json
Grade 6,M01 T03 L02 Product Placement,/data/CA_SM5e_G06_TIG_M01_T03_L02.json
Grade 6,"M01 T03 L03 Re-Engaging with Adding, Subtracting, and Multiplying Decimals",/data/CA_SM5e_G06_TIG_M01_T03_L03.json
Grade 6,M01 T03 L04 Dividend in the House,/data/CA_SM5e_G06_TIG_M01_T03_L04.json
Grade 6,M01 T03 L05 Re-Engaging with Dividing Decimals,/data/CA_SM5e_G06_TIG_M01_T03_L05.json
Grade 6,M02 T04 L01 It's All Relative,/data/CA_SM5e_G06_TIG_M02_T04_L01.json
Grade 6,M02 T04 L02 Going Strong,/data/CA_SM5e_G06_TIG_M02_T04_L02.json
Grade 6,M02 T04 L03 Re-Engaging with Recognizing Ratios,/data/CA_SM5e_G06_TIG_M02_T04_L03.json
Grade 6,M02 T04 L04 Different but the Same,/data/CA_SM5e_G06_TIG_M02_T04_L04.json
Grade 6,M02 T04 L05 Re-Engaging with Ratios on Double Number Lines,/data/CA_SM5e_G06_TIG_M02_T04_L05.json
Grade 6,M02 T04 L06 A Trip to the Moon,/data/CA_SM5e_G06_TIG_M02_T04_L06.json
Grade 6,M02 T04 L07 Re-Engaging with Ratios in Tables,/data/CA_SM5e_G06_TIG_M02_T04_L07.json
Grade 6,M02 T04 L08 They're Growing!,/data/CA_SM5e_G06_TIG_M02_T04_L08.json
Grade 6,M02 T04 L09 One Is Not Enough,/data/CA_SM5e_G06_TIG_M02_T04_L09.json
Grade 6,M02 T04 L10 Re-Engaging with Multiple Representations of Ratios,/data/CA_SM5e_G06_TIG_M02_T04_L10.json
Grade 6,M02 T05 L01 We Are Family!,/data/CA_SM5e_G06_TIG_M02_T05_L01.json
Grade 6,"M02 T05 L02 Re-Engaging with Equivalent Percents, Decimals, and Fractions",/data/CA_SM5e_G06_TIG_M02_T05_L02.json
Grade 6,M02 T05 L03 Warming the Bench,/data/CA_SM5e_G06_TIG_M02_T05_L03.json
Grade 6,M02 T05 L04 The Forest for the Trees,/data/CA_SM5e_G06_TIG_M02_T05_L04.json
Grade 6,M02 T05 L05 Re-Engaging with Problem Solving with Percents,/data/CA_SM5e_G06_TIG_M02_T05_L05.json
Grade 6,M02 T06 L01 Many Ways to Measure,/data/CA_SM5e_G06_TIG_M02_T06_L01.json
Grade 6,M02 T06 L02 Re-Engaging with Converting Units,/data/CA_SM5e_G06_TIG_M02_T06_L02.json
Grade 6,M02 T06 L03 What Is the Best Buy?,/data/CA_SM5e_G06_TIG_M02_T06_L03.json
Grade 6,M02 T06 L04 Seeing Things Differently,/data/CA_SM5e_G06_TIG_M02_T06_L04.json
Grade 6,M02 T06 L05 Re-Engaging with Unit Rates,/data/CA_SM5e_G06_TIG_M02_T06_L05.json
Grade 6,M03 T07 L01 Relationships Matter,/data/CA_SM5e_G06_TIG_M03_T07_L01.json
Grade 6,M03 T07 L02 Re-Engaging with Applying the Order of Operations,/data/CA_SM5e_G06_TIG_M03_T07_L02.json
Grade 6,M03 T07 L03 Into the Unknown,/data/CA_SM5e_G06_TIG_M03_T07_L03.json
Grade 6,M03 T07 L04 Re-Engaging with Exploring Algebraic Expressions,/data/CA_SM5e_G06_TIG_M03_T07_L04.json
Grade 6,M03 T07 L05 Express Yourself,/data/CA_SM5e_G06_TIG_M03_T07_L05.json
Grade 6,M03 T07 L06 Re-Engaging with Evaluating Expressions,/data/CA_SM5e_G06_TIG_M03_T07_L06.json
Grade 6,"M03 T07 L07 Second Verse, Same as the First",/data/CA_SM5e_G06_TIG_M03_T07_L07.json
Grade 6,M03 T07 L08 Re-Engaging with Algebraic Expressions,/data/CA_SM5e_G06_TIG_M03_T07_L08.json
Grade 6,M03 T07 L09 Are They Saying the Same Thing?,/data/CA_SM5e_G06_TIG_M03_T07_L09.json
Grade 6,M03 T07 L10 Re-Engaging with Equivalent Expressions,/data/CA_SM5e_G06_TIG_M03_T07_L10.json
Grade 6,M03 T08 L01 First Among Equals,/data/CA_SM5e_G06_TIG_M03_T08_L01.json
Grade 6,M03 T08 L02 Re-Engaging with Reasoning to Solve Problems,/data/CA_SM5e_G06_TIG_M03_T08_L02.json
Grade 6,M03 T08 L03 Double Talk,/data/CA_SM5e_G06_TIG_M03_T08_L03.json
Grade 6,M03 T08 L04 Re-Engaging with Solving Equations with Addition,/data/CA_SM5e_G06_TIG_M03_T08_L04.json
Grade 6,M03 T08 L05 Play It In Reverse,/data/CA_SM5e_G06_TIG_M03_T08_L05.json
